0	0	36	0	38	289	11989	1682
0	0	41	39	43	290	10830	2272
0	0	48	44	50	291	9313	1854
0	0	56	51	59	292	8309	1487
0	0	64	60	67	293	9176	1339
0	0	73	68	74	294	6194	1393
0	0	78	75	81	295	6447	1221
0	0	84	82	88	296	5976	1368
0	0	92	89	97	297	5392	1049
0	0	103	98	127	298	4686	155
0	0	36	0	38	289	11989	1682
0	0	41	39	43	290	10830	2272
0	0	48	44	50	291	9313	1854
0	0	56	51	59	292	8309	1487
0	0	64	60	67	293	9176	1339
0	0	73	68	74	294	6194	1393
0	0	78	75	81	295	6447	1221
0	0	84	82	88	296	5976	1368
0	0	92	89	97	297	5392	1049
0	0	103	98	127	298	4686	155
0	0	36	0	32	289	11989	1682
0	0	41	33	37	290	10830	2272
0	0	48	38	44	291	9313	1854
0	0	56	45	53	292	8309	1487
0	0	64	54	61	293	9176	1339
0	0	73	62	68	294	6194	1393
0	0	78	69	75	295	6447	1221
0	0	84	76	82	296	5976	1368
0	0	92	83	96	297	5392	1049
0	0	103	97	127	298	4686	155
1	0	36	0	41	289	11989	1682
1	0	41	42	46	290	10830	2272
1	0	48	47	53	291	9313	1854
1	0	56	54	62	292	8309	1487
1	0	64	63	70	293	9176	1339
1	0	73	71	77	294	6194	1393
1	0	78	78	84	295	6447	1221
1	0	84	85	91	296	5976	1368
1	0	92	92	100	297	5392	1049
1	0	103	101	127	298	4686	155
1	0	36	0	41	289	11989	1682
1	0	41	42	46	290	10830	2272
1	0	48	47	53	291	9313	1854
1	0	56	54	62	292	8309	1487
1	0	64	63	70	293	9176	1339
1	0	73	71	77	294	6194	1393
1	0	78	78	84	295	6447	1221
1	0	84	85	91	296	5976	1368
1	0	92	92	100	297	5392	1049
1	0	103	101	127	298	4686	155
2	0	36	0	45	289	11989	1682
2	0	41	46	50	290	10830	2272
2	0	48	51	57	291	9313	1854
2	0	56	58	66	292	8309	1487
2	0	64	67	74	293	9176	1339
2	0	73	75	81	294	6194	1393
2	0	78	82	88	295	6447	1221
2	0	84	89	95	296	5976	1368
2	0	92	96	104	297	5392	1049
2	0	103	105	127	298	4686	155
2	0	36	0	45	289	11989	1682
2	0	41	46	50	290	10830	2272
2	0	48	51	57	291	9313	1854
2	0	56	58	66	292	8309	1487
2	0	64	67	74	293	9176	1339
2	0	73	75	81	294	6194	1393
2	0	78	82	88	295	6447	1221
2	0	84	89	95	296	5976	1368
2	0	92	96	104	297	5392	1049
2	0	103	105	127	298	4686	155
3	0	42	0	49	197	5284	711
3	0	62	50	67	198	2699	224
3	0	71	68	78	199	2848	89
3	0	84	79	90	200	2585	21
3	0	96	91	127	201	1802	201
3	0	42	0	49	197	5284	711
3	0	62	50	67	198	2699	224
3	0	71	68	78	199	2848	89
3	0	84	79	90	200	2585	21
3	0	96	91	127	201	1802	201
4	0	49	0	46	137	800	160
4	0	56	47	66	138	731	107
4	0	67	67	80	139	361	56
4	0	80	81	101	140	442	53
4	0	97	102	127	141	104	10
4	0	60	0	47	115	6178	755
4	0	60	48	72	115	6178	755
4	0	84	73	103	116	2112	105
4	0	84	104	127	116	2112	105
4	0	49	0	46	137	800	160
4	0	56	47	66	138	731	107
4	0	67	67	80	139	361	56
4	0	80	81	93	140	442	53
4	0	97	94	127	141	104	10
4	0	48	0	45	9	927	168
4	0	53	46	53	10	402	252
4	0	64	54	63	11	909	134
4	0	70	64	75	12	946	94
4	0	83	76	83	13	936	67
4	0	87	84	91	14	904	53
4	0	93	92	127	15	695	75
5	0	48	0	60	142	1835	168
5	0	56	61	68	143	1206	106
5	0	64	69	76	144	897	67
5	0	72	77	84	145	501	42
5	0	80	85	92	146	351	53
5	0	88	93	100	147	303	50
5	0	96	101	127	148	190	95
5	0	78	0	83	117	1365	3682
5	0	78	84	95	117	1365	3682
5	0	78	96	127	117	1365	3682
5	0	48	0	60	142	1835	168
5	0	56	61	68	143	1206	106
